John Hawcridge,1885,Three-quarters,2,2,0,0,2,NA,Macclesfield,United Kingdom,England,North West England,Cheshire East,September 28,1863,England
Arthur Kemble,1885,Forward,3,2,1,0,0,NA,Carlisle,United Kingdom,England,North West England,Cumbria,February 3,1862,England
Henry Ryalls,1885,Forward,2,2,0,0,1,NA,Wirral,Canada,New Brunswick,Queens County,Wirral,December 12,1858,England
Frank (Slazenger-)Moss,1885,Forward,3,3,0,0,0,NA,Manchester,United Kingdom,England,North West England,Greater Manchester,(guess: regd Q1),Manchester,England
Drewy Stoddart,1885,Three-quarters,10,6,3,1,2,5,S Shields,United Kingdom,England,North East England,Tyne and Wear,March 11,1863,England
Charles Horley,1885,Forward,1,1,0,0,0,NA,Pendlebury,United Kingdom,England,North West England,Greater Manchester,(guess: regd Q3),Pendlebury,England
Fred Bonsor,1886,Halfback,6,3,0,3,0,0,1862,Sverige,Svealand,Örebro län,Landskapet Närke,1862,,England
William Clibbon,1886,Forward,6,2,1,3,0,NA,Co Tipperary,Republic of Ireland,Munster,County Tipperary,Missing,September 28,1859,England
Charles Elliot,1886,Forward,1,1,0,0,0,NA,Sunderland,United Kingdom,England,North East England,Tyne and Wear,May 31,1861,England
Froude Hancock,1886,Forward,10,8,2,0,1,3,Somerset,United Kingdom,England,South West England,Somerset,August 29,1865,England
Rupert Inglis,1886,Forward,3,2,0,1,0,NA,Hanover Square,United States of America,13202,New York,Onondaga County,May 17,1863,England
George Jeffery,1886,Forward,6,2,1,3,1,NA,London,United Kingdom,England,Greater London,London,December 26,1861,England
Rawson Robertshaw,1886,Three-quarters,5,2,0,3,0,NA,Bradford,United Kingdom,England,Yorkshire and the Humber,Bradford,(guess: regd Q4),Bradford,England
Edgar Wilkinson,1886,Forward,5,2,0,3,2,NA,Bradford,United Kingdom,England,Yorkshire and the Humber,Bradford,October 27,1863,England
Norman Spurling,1886,Forward,3,1,0,2,0,NA,Blackheath,United Kingdom,England,Greater London,London,February 15,1864,England
Rev Brutton,1886,Three-quarters,1,0,0,1,0,NA,Tynemouth,United Kingdom,England,North East England,Tyne and Wear,July 29,1864,England
Hiatt Baker,1887,Forward,1,0,0,1,0,NA,Clifton,South Africa,Western Cape,City of Cape Town,Cape Town,June 30,1863,England
Charles Cleveland,1887,Forward,2,0,0,2,0,NA,Bombay,India,Maharashtra,Greater Bombay,Mumbai,November 2,1866,England
John Dewhurst,1887,Forward,4,0,2,2,0,0,Yorks,Deutschland,10965,Berlin,Friedrichshain-Kreuzberg,December 27,1863,England
John Hickson,1887,Forward,6,2,2,2,0,0,Clapham Common,United Kingdom,SW4 9DE,England,Greater London,July 18,1862,England
John le Fleming,1887,Three-quarters,1,0,0,1,0,NA,Tonbridge,United Kingdom,England,South East,Kent,October 23,1865,England
Dicky Lockwood,1887,Three-quarters,14,8,4,2,5,28,Crigglestone,United Kingdom,England,Yorkshire and the Humber,Crigglestone,November 11,1867,England
Sam Roberts,1887,Fullback,2,0,1,1,0,NA,date unknown,g,n,i,s,date unknown,,England
Bob Seddon,1887,Forward,3,0,1,2,0,NA,Lancashire,United Kingdom,England,North West England,Lancashire,circa 1860,Lancashire,England
Arthur Fagan,1887,Three-quarters,1,0,1,0,0,NA,Calcutta,India,West Bengal,Kolkata,Missing,November 24,1862,England
Frank Pease,1887,Forward,1,0,1,0,0,NA,Darlington,Australia,New South Wales,Sydney City,Darlington,January 17,1864,England
Mason Scott,1887,Halfback,3,2,1,0,0,0,Newcastle-upon-Tyne,United Kingdom,England,North East England,Tyne and Wear,December 20,1865,England
Charles Anderton,1889,Forward,1,1,0,0,0,0,Machester,United States of America,29575,South Carolina,Horry County,(guess: regd Q4),Ardwick,England
Harry Bedford,1889,Forward,3,3,0,0,2,2,Leeds,United Kingdom,England,Yorkshire and the Humber,Leeds,(guess: regd Q1),Gildersome,England
John Cave,1889,Forward,1,1,0,0,0,0,Surbiton,United Kingdom,England,Greater London,London,February 5,1867,England
Frank Evershed,1889,Forward,10,7,3,0,4,7,Staffs,Kenya,00200,Nairobi,Eastleigh,September 6,1866,England
Donald Jowett,1889,Forward,6,5,1,0,0,2,Bradford,United Kingdom,England,Yorkshire and the Humber,Bradford,December 4,1866,England
Frederick Lowrie,1889,Forward,2,1,1,0,0,0,Wakefield,United Kingdom,England,Yorkshire and the Humber,Wakefield,March 1,1868,England
Arthur Robinson,1889,Forward,4,3,1,0,0,0,Darlington,Australia,New South Wales,Sydney City,Darlington,November 8,1865,England
Artie Royle,1889,Fullback,1,1,0,0,0,0,date unknown,g,n,i,s,date unknown,,England
William Scott,1889,Halfback,1,1,0,0,0,0,Gateshead,United Kingdom,England,North East England,Tyne and Wear,March 27,1870,England
John Sutcliffe,1889,Three-quarters,1,1,0,0,1,3,nr Halifax,Deutschland,77836,Baden-Württemberg,Regierungsbezirk Karlsruhe,April 14,1868,England
Harry Wilkinson,1889,Forward,1,1,0,0,0,0,Halifax,Canada,Nova Scotia,Halifax County,Halifax,(guess: regd Q2),Halifax,England
William Yiend,1889,Forward,6,5,1,0,0,0,Winchcome,g,n,i,s,September 29,1861,England
Richard Budworth,1890,Forward,3,1,2,0,1,1,Essex,United Kingdom,England,East of England,Essex,October 17,1867,England
Francis Fox,1890,Halfback,2,1,1,0,0,0,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,June 12,1863,England
Willie Mitchell,1890,Fullback,10,7,3,0,0,3,Quebec,Canada,Québec,Missing,Missing,May 23,1865,England
Dolly Morrison,1890,Three-quarters,4,3,1,0,1,1,Guisborough,United Kingdom,England,North East England,Redcar and Cleveland,July 30,1868,England
John Rogers,1890,Forward,4,2,2,0,1,1,Aston,France,09310,France métropolitaine,Midi-Pyrénées,(guess: regd Q1),Aston,England
Jim Valentine,1890,Centre,4,1,3,0,0,2,Salford,United Kingdom,England,North West England,Greater Manchester,July 29,1866,England
Samuel Woods,1890,Forward,13,9,4,0,1,6,NSW,Australia,New South Wales,Missing,Missing,April 14,1867,England
James Wright,1890,Halfback,1,0,1,0,0,0,Yorks,Deutschland,10965,Berlin,Friedrichshain-Kreuzberg,April 1,1863,England
Randolph Aston,1890,Centre,5,5,0,0,2,2,Kensington,United Kingdom,England,Greater London,London,September 6,1869,England
Jack Dyson,1890,Three-quarters,4,3,1,0,1,2,Skelmanthorpe,United Kingdom,England,Yorkshire and the Humber,Skelmanthorpe,September 6,1866,England
