Ian Davidson,1899,Wing,10,3,5,2,2,6,Co.Do,United States of America,Colorado,Jefferson County,DOE
George Harman,1899,Centre,2,2,0,0,0,0,Co Cork,Republic of Ireland,Munster,County Cork,Missing
Tom McGown,1899,Forward,7,5,2,0,0,0,Belfast,United Kingdom,Northern Ireland,County Antrim,Belfast
Edward Campbell,1899,Wing,4,2,2,0,1,3,?,g,n,i,s
Gerry Doran,1899,Wing,10,4,5,1,2,6,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Newry Meares,1896,Forward,6,3,3,0,0,0,Newry,United Kingdom,Northern Ireland,County Down,Newry
Carl Reid,1899,Centre,4,2,2,0,1,3,Londonderry,United Kingdom,Northern Ireland,County Londonderry,Londonderry
Cecil Moriarty,1899,Forward,1,1,0,0,0,0,Tralee,Republic of Ireland,Munster,County Kerry,Tralee
Ellie Allen,1900,Forward,21,6,14,1,1,3,Gibraltar,Gibraltar,Missing,Missing,Missing
John Coffey,1900,Forward,19,8,11,0,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
John Ferris,1900,Scrum-half,3,0,2,1,0,0,?,g,n,i,s
Fred Gardiner,1900,Forward,22,8,13,1,3,15,Northern Ireland,United Kingdom,Northern Ireland,Missing,Missing
Samuel Irwin,1900,Forward,9,2,6,1,0,4,Northern Ireland,United Kingdom,Northern Ireland,Missing,Missing
Percy Nicholson,1900,Forward,3,0,2,1,0,0,Cork,Republic of Ireland,Munster,County Cork,Cork
Cecil Boyd,1896,Fullback,4,1,2,1,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Bertie Doran,1900,Centre,8,2,5,1,1,3,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
