Place,Name,Years,Tests,Matches,Number
"Lautoka, Fiji","Jennings, Arthur Grahn",1967,0,6,659
"Oratia, New Zealand","Clarke, Phillip Hipkins",1967,0,4,662
"Auckland, New Zealand","Currey, William Douglas Roy",1968,0,7,671
"Auckland, New Zealand","Knight, Michael Orton",1968,0,8,669
"Culverden, New Zealand","O'Callaghan, Michael William",1968,3,0,676
"Milton, New Zealand","Kreft, Anthony John",1968,1,3,675
"New Plymouth, New Zealand","Johns, Peter Arthur",1968,0,6,672
"Paeroa, New Zealand","Stephens, Owen George",1968,1,0,677
"Palmerston North, New Zealand","McCashin, Terence Michael",1968,0,7,674
"Christchurch, New Zealand","Burns, John Francis",1970,0,9,679
"Dannevirke, New Zealand","Furlong, Blair Donald Marie",1970,1,10,685
"Lower Hutt, New Zealand","Thimbleby, Neil William",1970,1,12,684
"Singapore, Malaya","Hendrie, James Malcolm",1970,0,1,680
"Tokomaru Bay, New Zealand","Milner, Henare Pawhara",1970,1,15,683
"Christchurch, New Zealand","Joseph, Howard Thornton",1971,2,0,696
"Waipawa, New Zealand","Duncan, Michael Gordon",1971,2,0,698
"Featherston, New Zealand","Sims, Graham Scott",1972,1,0,712
"Palmerston, New Zealand","Matheson, Jeffrey David",1972,5,8,708
"Hamilton, New Zealand","Morrison, Terry Geoffrey",1973,1,4,724
"Lower Hutt, New Zealand","McNicol, Alasdair Lindsay Robert",1973,0,5,722
"Waiuku, New Zealand","Lendrum, Robert Noel",1973,1,2,725
"Warkworth, New Zealand","Jones, Murray Gordon",1973,1,4,723
"Auckland, New Zealand","Gemmell, Bruce McLeod",1974,2,4,729
"Auckland, New Zealand","McLachlan, Jon Stanley",1974,1,7,732
"Kawakawa, New Zealand","Going, Kenneth Tautohe",1974,0,3,742
"New Plymouth, New Zealand","Gardiner, Ashley John",1974,1,10,728
"Oamaru, New Zealand","Barber, Robert John",1974,0,6,736
"Tauranga, New Zealand","Kane, Gregory Norman",1974,0,7,741
"Auckland, New Zealand","Stokes, Edward James Taite",1976,0,5,763
"Christchurch, New Zealand","Cartwright, Scott Calvert",1976,0,7,753
"Cromwell, New Zealand","Purvis, Neil Alexander",1976,1,11,746
"Dunedin, New Zealand","Jaffray, Mervyn William Rutherford",1976,0,4,767
"Feilding, New Zealand","Harris, Perry Colin",1976,1,3,751
"Hokitika, New Zealand","Cron, Stewart Edward George",1976,0,6,754
"Invercargill, New Zealand","Sapsford, Herbert Paul",1976,0,7,760
"Matamata, New Zealand","Fawcett, Christopher Louis",1976,2,11,747
"Pahiatua, New Zealand","Ryan, Patrick John",1976,0,5,759
"Rotorua, New Zealand","Brake, Leonard John",1976,0,5,752
"Rotorua, New Zealand","Rowlands, Gregory David",1976,0,4,769
"Wellington, New Zealand","Granger, Kenneth William",1976,0,6,755
"Auckland, New Zealand","Farrell, Colin Paul",1977,2,0,773
"Napier, New Zealand","Stuart, Robert Locksdale",1977,1,5,780
"Gisborne, New Zealand","Kururangi, Robert",1978,0,8,786
"Gore, New Zealand","McGregor, Ashley Alton",1978,0,3,788
"Palmerston North, New Zealand","Loveday, John Kelman",1978,0,7,787
"Waiuku, New Zealand","Ashworth, Barry Graeme",1978,2,5,783
"Wellington, New Zealand","Currie, Clive James",1978,2,2,789
"Christchurch, New Zealand","Keane, Kieran James",1979,0,6,801
"Hastings, New Zealand","McCool, Michael John",1979,1,1,795
"Kaitaia, New Zealand","Burgoyne, Michael Martin",1979,0,6,800
"Oxford, New Zealand","Thompson, Barry Alan",1979,0,8,799
"Auckland, New Zealand","Allen, Nicholas Houghton",1980,2,7,812
"Christchurch, New Zealand","Perry, Richard Grant",1980,0,1,813
"Christchurch, New Zealand","Scott, Stephen John",1980,0,4,811
"Manutuke, New Zealand","Wyllie, Tutekawa",1980,0,1,823
"Milton, New Zealand","Bloxham, Kenneth Charles",1980,0,2,814
"Napier, New Zealand","Taylor, Kenneth John",1980,0,1,819
"Nightcaps, New Zealand","Valli, Geoffrey Thomas",1980,0,1,820
"Pukekohe, New Zealand","Codlin, Brett William",1980,3,10,807
"Tokoroa, New Zealand","Hines, Geoffrey Robert",1980,1,11,805
"Whakatane, New Zealand","Wickes, Craig David",1980,0,1,821
"Ashburton, New Zealand","Ross, John Charles",1981,0,5,830
"Auckland, New Zealand","Boe, John William",1981,0,2,834
"Putaruru, New Zealand","Morrissey, Brian Lewis",1981,0,3,833
"Taupo, New Zealand","Rickit, Haydn",1981,2,0,824
"Waipukurau, New Zealand","Neville, Wayne Ronald",1981,0,4,829
"Auckland, New Zealand","Wilson, Hedley Brett",1983,0,3,846
"Christchurch, New Zealand","Davie, Murray Geoffrey",1983,1,4,849
"Waipukurau, New Zealand","Robinson, Alastair Garth",1983,0,4,844
"Auckland, New Zealand","Mills, John Gordon",1984,0,2,858
"Kaikohe, New Zealand","Woodman, Taui Ben Kawhena",1984,0,6,855
"Palmerston North, New Zealand","Finlay, Mark Clayton",1984,0,2,856
"Auckland, New Zealand","Sherlock, Kurt",1985,0,3,861
"Eltham, New Zealand","Robins, Bryce Graeme",1985,0,4,863
"Gisborne, New Zealand","Simpson, Victor Lenard James",1985,2,2,864
"Palmerston North, New Zealand","Hemara, Bruce Stephen",1985,0,3,859
"Auckland, New Zealand","Speight, Michael Wayne",1986,1,4,877
"Gisborne, New Zealand","Macpherson, Gordon",1986,1,0,873
